epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.5903371162252662,0.7725376031052887,0.4626075446724024,0.31331241595696996,0.37359700694815606,0.5577138253286773,0.7794935145151328,0.5641838351822503,0.4477987421383648,0.4992987377279102
2,0.5420614508567033,0.7987384764677341,0.5450890292935094,0.42536978933213804,0.4778449144008056,0.5479366612785003,0.7665225447807289,0.5242236024844721,0.5308176100628931,0.5275
3,0.5270008281057263,0.8029112081513828,0.5548245614035088,0.4536082474226804,0.4991368680641184,0.6045883739111471,0.7038295243977764,0.4297945205479452,0.6314465408805031,0.5114620478858889
4,0.5103816005550785,0.8112566715186803,0.574634655532359,0.4935006723442403,0.5309862551241862,0.6069638431072235,0.7164916615194564,0.4451382694023194,0.6276729559748427,0.5208768267223383
5,0.49864754264737354,0.8143619602134886,0.5811224489795919,0.5105333930972658,0.5435456931519924,0.5967022399691975,0.7757875231624459,0.5447470817120622,0.5283018867924528,0.5363984674329502
6,0.48862101284810056,0.8134885977680737,0.5756981871631554,0.52666965486329,0.5500936329588015,0.5887110526947414,0.7794935145151328,0.5584415584415584,0.4867924528301887,0.5201612903225806
7,0.4862131421212797,0.8164968461911694,0.5833333333333334,0.5333930972658001,0.5572465464762351,0.6073182780368656,0.7520074119827054,0.4950980392156863,0.5081761006289308,0.5015518311607697
8,0.4698829549698182,0.8242600679281902,0.6015473887814313,0.5575974899148364,0.5787392416841126,0.6485764924071583,0.752933909820877,0.49696969696969695,0.5157232704402516,0.5061728395061729
9,0.4499130879103402,0.8322173702086366,0.6191832858499525,0.5844912595248767,0.6013373299515794,0.7065177904624566,0.6772699197035207,0.3972039473684211,0.6075471698113207,0.4803580308304326
10,0.4529482976154045,0.8364871421639981,0.6269767441860465,0.6042133572389063,0.6153846153846154,0.6865766285096898,0.6908585546633724,0.4147350993377483,0.630188679245283,0.5002496255616575
11,0.4395675942485715,0.8398835516739447,0.6350534635053463,0.6122814881219184,0.6234596074851666,0.6598716939196867,0.7291537986411365,0.45948616600790515,0.5849056603773585,0.5146651909241837
12,0.42853801835466315,0.8421154779233382,0.6395563770794824,0.6203496190049306,0.629806598407281,0.7278902814084408,0.6939468807906115,0.4190082644628099,0.6377358490566037,0.5057356608478804
13,0.4189083661746096,0.8433770014556041,0.6430227167362077,0.6216943074854325,0.6321786690975387,0.7240524657216727,0.6908585546633724,0.4147350993377483,0.630188679245283,0.5002496255616575
14,0.4083199651888859,0.8477438136826783,0.6492335437330928,0.6454504706409682,0.6473364801078895,0.7852028905614918,0.7705373687461395,0.5415335463258786,0.42641509433962266,0.47712878254750174
15,0.4003572299340625,0.8518195050946142,0.6616161616161617,0.6458987001344688,0.6536629621229304,0.9411068054683068,0.7940086473131562,0.6641025641025641,0.32578616352201256,0.4371308016877637
