epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.6107034109256886,0.7511887433284813,0.4120443740095087,0.34961900493052445,0.37827352085354027,0.7631680004152597,0.5525015441630636,0.31163594470046085,0.680503144654088,0.42749901224812326
2,0.5618361361600734,0.7796215429403203,0.4895287958115183,0.41909457642312864,0.4515817435402077,0.7770116451908561,0.5901791229153799,0.3343711083437111,0.6754716981132075,0.44731361932528113
3,0.5407315246116968,0.7940805434255216,0.5278487480838018,0.46302106678619454,0.4933142311365807,0.7794511072775897,0.4638665843113033,0.2779613025011798,0.740880503144654,0.40425531914893614
4,0.5357272100669367,0.7967976710334789,0.5356214248569943,0.4616763783056925,0.49590755897929706,0.9284240644352109,0.4765287214329833,0.2947080291970803,0.8125786163522013,0.4325410110478741
5,0.5224363998866376,0.7979621542940321,0.5365375183913683,0.49036306588973555,0.5124121779859485,0.6659828513568523,0.6995058678196417,0.41359223300970877,0.5358490566037736,0.46684931506849314
6,0.523841490900075,0.8022319262493935,0.5477486392874814,0.4961900493052443,0.5206961429915334,0.5831916576214865,0.7893761581222977,0.5992970123022847,0.4289308176100629,0.5
7,0.5019308177777279,0.8124211547792334,0.5753286147623863,0.5100851636037651,0.5407460204324067,0.9987555894197202,0.4638665843113033,0.29318681318681317,0.8389937106918239,0.43452768729641694
8,0.500747702187962,0.8095099466278506,0.56511175898931,0.5212909009412819,0.542317556539986,0.7625678491358664,0.5138974675725757,0.31046228710462287,0.8025157232704403,0.447719298245614
9,0.483034773281327,0.8138767588549248,0.5754944524843222,0.5347377857463022,0.554368029739777,0.667499771305159,0.7912291537986411,0.6307692307692307,0.3610062893081761,0.4592
10,0.4802375708097293,0.8188258127122756,0.5878378378378378,0.5459435230838189,0.5661166627934,0.574163613950505,0.7683755404570722,0.5288831835686778,0.5182389937106918,0.5235069885641678
11,0.464269446094095,0.8213488597768074,0.590782122905028,0.5688032272523532,0.5795843799954328,0.6427375425895056,0.7118591723285979,0.4350282485875706,0.5811320754716981,0.4975767366720517
12,0.4628914712387838,0.8239689471130519,0.5994277539341917,0.5634244733303452,0.5808687615526802,0.8057379348605287,0.5552810376775787,0.3250135648399349,0.7534591194968554,0.4541319181197877
13,0.4504192300416805,0.8273653566229986,0.6065032987747409,0.5768713581353653,0.5913163335630599,0.685420864352993,0.6747992588017294,0.39953271028037385,0.6452830188679245,0.4935064935064935
14,0.4430107265066953,0.8322173702086366,0.6182846371347785,0.5880770954728821,0.6028026648288537,0.636958028755936,0.7652872143298333,0.5225225225225225,0.5106918238993711,0.5165394402035624
15,0.423589353668101,0.8382338670548277,0.6292392300641613,0.6154190945764231,0.622252435984591,0.6922540589436597,0.7612723903644225,0.519298245614035,0.3723270440251572,0.4336996336996337
16,0.4178854195791998,0.8440562833575934,0.6407942238267148,0.6364858807709547,0.6386327861479649,0.6925016843220767,0.692402717726992,0.41701073492981006,0.6352201257861635,0.5034895314057827
17,0.40475018396053786,0.8464822901504124,0.6491954022988505,0.6329000448229494,0.6409441670449387,0.923574815193812,0.5741198270537369,0.33352337514253133,0.7358490566037735,0.4590035307963907
18,0.3924708139197326,0.8521106259097525,0.6557955046275893,0.6669654863290004,0.6613333333333333,0.7433988108646636,0.7205064854848672,0.4417372881355932,0.5245283018867924,0.4795859689476711
19,0.3871717918434261,0.8561863173216885,0.671395881006865,0.6575526669654863,0.6644021739130435,0.8448230128223989,0.7615812229771464,0.517503805175038,0.4276729559748428,0.46831955922865015
20,0.3701662216105579,0.8601649684619117,0.6738556338028169,0.6862393545495293,0.679991117033089,0.8233349498580483,0.6961087090796788,0.40904716073147257,0.5345911949685535,0.46346782988004365
21,0.36338372091636245,0.8690926734594857,0.6954787234042553,0.7032720753025549,0.6993536884332516,0.862855457061646,0.727300802964793,0.44472361809045224,0.44528301886792454,0.4450031426775613
22,0.35145057471078117,0.8670548277535177,0.6897311591009255,0.7014791573285523,0.6955555555555556,1.0192762440910526,0.753242742433601,0.4966996699669967,0.3786163522012579,0.42969307637401855
23,0.34748507576224247,0.8731683648714217,0.7038834951456311,0.7149260421335724,0.7093617967533912,1.0010858015979038,0.7029030265596047,0.41256544502617803,0.49559748427672956,0.4502857142857143
24,0.3261353815043414,0.8787967006307618,0.7155399473222125,0.7306140744060959,0.7229984475493457,1.0184371836629569,0.7103150092649784,0.43010752688172044,0.5534591194968553,0.48404840484048406
25,0.3210240849926148,0.8798641436196022,0.7154013015184382,0.7391304347826086,0.7270723104056437,1.0342723619119794,0.7161828289067326,0.43002257336343114,0.47924528301886793,0.45330160618679355
26,0.31101732866631615,0.8873362445414847,0.7365163572060124,0.7467503361721202,0.7415980413977298,1.0699815903516376,0.7248301420630019,0.4408866995073892,0.45031446540880504,0.44555071561916615
27,0.30276949756583316,0.8881125667151868,0.7359894921190894,0.7534737785746302,0.7446290143964562,1.0490211391565847,0.6979617047560223,0.41002949852507375,0.5245283018867924,0.4602649006622517
28,0.29925653320035817,0.892479378942261,0.7472479084103919,0.7606454504706409,0.7538871612616614,1.0633008485915614,0.6714021000617665,0.38856669428334717,0.589937106918239,0.46853146853146854
29,0.299086993859138,0.8906356137797186,0.7375215146299484,0.7682653518601524,0.7525795828759605,1.109779622040543,0.7334774552192711,0.45490716180371354,0.43144654088050316,0.44286636539703034
30,0.2929007504825239,0.8931586608442503,0.748898678414097,0.761990138951143,0.7553876916240836,1.2303469818012387,0.7328597899938234,0.4505649717514124,0.40125786163522015,0.4244843646041251
