epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.606858491897583,0.7307373653686827,0.4462416745956232,0.3951137320977254,0.419124218051832,0.6891514590153327,0.5963414634146341,0.2936630602782071,0.4810126582278481,0.3646833013435701
2,0.5600920958738578,0.7551781275890638,0.5023041474654378,0.45914069081718617,0.47975352112676056,0.6715146532425513,0.6304878048780488,0.26077097505668934,0.2911392405063291,0.2751196172248804
3,0.5199603814827768,0.7769262634631318,0.5502742230347349,0.5071609098567817,0.5278386672512057,0.6830008052862607,0.624390243902439,0.3302611367127496,0.5443037974683544,0.4110898661567878
4,0.4876220532153782,0.7934962717481359,0.5860507246376812,0.5450716090985678,0.5648188563945875,0.7985790927822773,0.6451219512195122,0.2175226586102719,0.18227848101265823,0.19834710743801653
5,0.46664950643715103,0.8015741507870754,0.5979469632164243,0.5888795282224094,0.5933786078098472,0.8835806554326644,0.526219512195122,0.2606516290726817,0.5265822784810127,0.34870075440067055
6,0.4378275545804124,0.825807787903894,0.6552962298025135,0.6149957877000842,0.6345067362016514,0.8995939023219622,0.6323170731707317,0.26681614349775784,0.3012658227848101,0.28299643281807374
7,0.41556774158226817,0.8247721623860812,0.6410256410256411,0.6529064869418703,0.6469115191986644,1.1244281897178063,0.45426829268292684,0.2433264887063655,0.6,0.3462381300219138
8,0.40859523886128474,0.8249792874896438,0.6363636363636364,0.6722830665543387,0.6538303973781238,1.0252393615933566,0.5615853658536586,0.275,0.5012658227848101,0.35515695067264574
9,0.39293838508035006,0.8357497928748965,0.6620065789473685,0.6781802864363943,0.6699958385351644,0.9455662855448631,0.6298780487804878,0.30297397769516726,0.41265822784810124,0.34941050375133975
10,0.36028394181477397,0.855840927920464,0.6959297685554668,0.7346251053074979,0.7147540983606557,1.058288308290335,0.6725609756097561,0.2694805194805195,0.21012658227848102,0.2361308677098151
11,0.3519056551158428,0.8583264291632146,0.7111670864819479,0.7135636057287279,0.712363330529857,1.2246930541900487,0.5603658536585366,0.2760989010989011,0.5088607594936709,0.3579697239536955
12,0.33892395092468514,0.8614333057166529,0.7072,0.7447346251053075,0.7254821501846532,1.2104011146494975,0.6615853658536586,0.2989949748743719,0.3012658227848101,0.30012610340479196
13,0.3333488202800876,0.8746893123446562,0.7369706840390879,0.7624262847514743,0.7494824016563147,1.2635448139447432,0.475,0.2567849686847599,0.6227848101265823,0.36363636363636365
14,0.31901659836110313,0.8717895608947804,0.7312703583061889,0.7565290648694187,0.7436853002070394,1.3223421083619962,0.6371951219512195,0.30237154150197626,0.38734177215189874,0.33962264150943394
15,0.29535226778764473,0.8856669428334715,0.76003276003276,0.7818028643639428,0.770764119601329,1.5398141879301805,0.49573170731707317,0.2573033707865168,0.579746835443038,0.35642023346303503
